date,margin_purchase_money
2025-12-22,335196079000.0
2025-12-23,337588452000.0
2025-12-24,338902814000.0
2025-12-26,340337126000.0
2025-12-29,339886882000.0
2025-12-30,341367756000.0
2025-12-31,343409624000.0
2026-01-02,346634298000.0
2026-01-05,350948272000.0
2026-01-06,354549156000.0
2026-01-07,357058834000.0
2026-01-08,352387558000.0
2026-01-09,351492667000.0
2026-01-12,356489999000.0
2026-01-13,355638826000.0
2026-01-14,358452806000.0
2026-01-15,359299228000.0
2026-01-16,363391797000.0
2026-01-19,369415656000.0
2026-01-20,371225738000.0
2026-01-21,367750150000.0
2026-01-22,371734427000.0
2026-01-23,376076978000.0
2026-01-26,381580658000.0
2026-01-27,382728015000.0
2026-01-28,384920473000.0
2026-01-29,381778070000.0
2026-01-30,383893252000.0
2026-02-02,378848321000.0
2026-02-03,382125198000.0
2026-02-04,384045976000.0
2026-02-05,382917747000.0
2026-02-06,373990690000.0
2026-02-09,375470000000.0
2026-02-10,372586424000.0
2026-02-11,368046780000.0
2026-02-23,372155937000.0
2026-02-24,377495245000.0
2026-02-25,383127012000.0
2026-02-26,389861168000.0
2026-03-02,391622964000.0
2026-03-03,384358166000.0
2026-03-04,376616380000.0
2026-03-05,379166593000.0
2026-03-06,382683605000.0
2026-03-09,371960474000.0
2026-03-10,368236339000.0
2026-03-11,376148010000.0
2026-03-12,379366977000.0
2026-03-13,385446747000.0
2026-03-16,392284076000.0
2026-03-17,393467031000.0
2026-03-18,399772079000.0
2026-03-19,402095986000.0
2026-03-20,398591129000.0
2026-03-23,393333803000.0
2026-03-24,390102627000.0
2026-03-25,395499028000.0
2026-03-26,391136615000.0
2026-03-27,393722769000.0
2026-03-30,392708646000.0
2026-03-31,381724855000.0
2026-04-01,384907899000.0
2026-04-02,385200709000.0
2026-04-07,387735006000.0
2026-04-08,394820817000.0
2026-04-09,396518145000.0
2026-04-10,401240705000.0
2026-04-13,408651307000.0
2026-04-14,414955067000.0
2026-04-15,416253785000.0
2026-04-16,422408757000.0
2026-04-17,427120349000.0
2026-04-20,429830661000.0
2026-04-21,433163894000.0
2026-04-22,438545241000.0
2026-04-23,430827021000.0
2026-04-24,440907083000.0
2026-04-27,452044394000.0
2026-04-28,457109757000.0
2026-04-29,460963803000.0
2026-04-30,460904578000.0
2026-05-04,470393584000.0
2026-05-05,475145292000.0
2026-05-06,475648471000.0
2026-05-07,482664170000.0
